occurences,year,artist
5960,1978,The Police
2946,1978,Kate Bush
16723,1977,Fleetwood Mac
2635,1977,Steely Dan
1508,1977,Steve Miller Band
1433,1977,Elvis Costello
978,1977,Weather Report
11018,1976,Bootsy Collins
3574,1976,Creedence Clearwater Revival
1878,1976,Starland Vocal Band
1851,1976,Boston
1809,1976,Stevie Wonder
3412,1975,Blue \u00d6yster Cult
3020,1975,Fleetwood Mac
2278,1975,Steely Dan
1755,1975,AC\/DC
1693,1975,Black Sabbath
7216,1974,Steely Dan
4296,1974,Supertramp
936,1974,David Allan Coe
909,1974,Aerosmith
670,1974,Commodores
9866,1973,Bruce Springsteen
2437,1973,Led Zeppelin
2361,1973,Aerosmith
1834,1973,Black Sabbath
1318,1973,The Modern Lovers
14371,1972,Lou Reed
1666,1972,Black Sabbath
1654,1972,Neil Young
495,1972,Steely Dan
206,1972,Caetano Veloso
3547,1971,Townes Van Zandt
2211,1971,The Rolling Stones
973,1971,Black Sabbath
755,1971,Leonard Cohen
455,1971,Chico Buarque
5474,1970,Creedence Clearwater Revival
3748,1970,Nick Drake
2048,1970,Donny Hathaway
1784,1970,Jimi Hendrix
1771,1970,ZZ Top
7714,1969,The Velvet Underground
1422,1969,Blind Faith
1287,1969,Mulatu Astatke
1236,1969,Leonard Cohen
618,1969,Creedence Clearwater Revival
3456,1968,Creedence Clearwater Revival
802,1968,Soft Machine
630,1968,Silver Apples
605,1968,The Rolling Stones
558,1968,The Kinks
3665,1967,PJ Harvey
3012,1967,Captain Beefheart & His Magic Band
2334,1967,Love
719,1967,Buffalo Springfield
617,1967,The Rolling Stones
2161,1966,The Zombies
1759,1966,Simon & Garfunkel
1071,1966,Bob Dylan
984,1966,The Kinks
605,1966,The Rolling Stones
2746,1965,The Rolling Stones
1391,1965,The Sonics
673,1965,Jr. Walker & The All Stars
127,1965,The Clash
108,1965,The Byrds
2331,1964,Barbra Streisand
1501,1964,Simon & Garfunkel
1150,1964,The Kinks
679,1964,Bob Dylan
311,1964,Donovan
14,1963,Bob Dylan
6,1963,Bob B. Soxx & The Blue Jeans
386,1962,Bob Dylan
43,1962,Frank Sinatra
3,1962,Dick Dale & His Del-Tones
5,1961,John Coltrane
238,1960,Taj Mahal
6,1960,Marty Robbins
124,1958,Johnny Cash
945,1957,Cannonball Adderley
89,1957,Claude Debussy
210,1956,Moondog
22,1956,Sonny Rollins
4,1954,Jaco Pastorius
185,1950,Tony Bennett
1602,1900,The Radio Dept.
25,1900,Betty Wright
