artist,year,occurrences,title
Toby Keith,2008,23879,Whiskey Girl
Corinne Bailey Rae,2010,23813,The Blackest Lily
Two Door Cinema Club,2009,23768,I Can Talk (Moulinex remix)
Hot Chip,2010,23640,Slush
The New Pornographers,2005,23581,Use It
Daft Punk,2007,23508,Da Funk / Daftendirekt
UB40,2012,23400,Homely Girl
Ratatat,2008,23219,Bruleé
Disturbed,2009,22876,Fear
Röyksopp,2009,22708,This Must Be It
The Tallest Man on Earth,2010,22591,Love Is All
The xx,2009,22375,Do You Mind?
blink-182,2009,22371,Feeling This
Leona Lewis,2017,22195,Bleeding Love
Jason Aldean,2005,22125,Good To Go
Lily Allen,2010,22046,LDN
The Wallflowers,2007,22000,One Headlight
Boys Like Girls,2010,21950,Heart Heart Heartbreak
The Kooks,2006,21839,Seaside
Air France,2008,21732,Never Content
Dashboard Confessional,2001,21569,Standard Lines
John Legend,2011,21535,Save Room
Rammstein,1995,21455,Asche zu Asche
Interpol,2007,21350,Mammoth
Soulja Boy,2009,21300,Turn My Swag On
Rammstein,2009,21182,Mehr
Ratatat,2006,21067,Kennedy
Looptroop,2000,20963,Long Arm Of The Law
Passion Pit,2008,20818,Smile Upon Me
Zero 7,2014,20733,In the Waiting Line
Massive Attack,1998,20602,Mezzanine
Black Eyed Peas,2013,20511,Let's Get It Started
Gary Allan,2007,20506,Nothing On But The Radio
Kate Nash,2007,20442,Skeleton Song
Flogging Molly,2002,20433,Cruel Mistress
Metallica,1986,20391,Orion
The B-52's,2010,20226,Love Shack
Yellowcard,2011,20109,Sing for Me
Bullet for My Valentine,2006,20020,Room 409
Flyleaf,2005,19981,I'm Sorry
Angus & Julia Stone,2011,19876,You're The One That I Want
Blind Pilot,2009,19862,Oviedo
Röyksopp,2001,19851,So Easy
The Strokes,2001,19809,Last Nite
Amos Lee,2005,19798,Dreamin'
Creed,2004,19652,Don't Stop Dancing
Animal Collective,2009,19505,Graze
The Pussycat Dolls,2014,19464,Don't Cha
Maroon 5,2008,19420,Kiwi
Rilo Kiley,2002,19410,Three Hopeful Thoughts
Mika,2012,19385,Grace Kelly
The All-American Rejects,2002,19307,Drive Away
Jack Johnson,2005,19228,Do You Remember
System of a Down,2001,19138,Science
Pavement,2010,18996,Summer Babe (Winter Version)
Broken Social Scene,2010,18969,Chase Scene
Saliva,2001,18949,Musta Been Wrong
The Killers,2007,18938,"Ruby, Don't Take Your Love to Town"
Days of the New,1997,18859,Where I Stand
Breaking Benjamin,2004,18854,Break My Fall
Kings of Leon,2007,18807,Trunk
Kanye West,2008,18640,Street Lights
Yael Naim,2008,18522,New Soul
Kiss,1978,18374,Rock And Roll All Nite
Chromeo,2004,18346,You're So Gangsta
Zac Brown Band,2011,18302,Highway 20 Ride
Los Fabulosos Cadillacs,1992,18151,Siguiendo La Luna
Shinedown,2003,18145,All I Ever Wanted
Snow Patrol,2006,18137,You're All I Have
Coldplay,2000,18113,Shiver
Finger Eleven,2007,18012,Window Song
Boys Like Girls,2007,17941,Up Against The Wall
Riverside,2006,17856,The Time I Was Daydreaming
System of a Down,2005,17841,Dreaming
MAE,2005,17717,Painless
The Smiths,2008,17673,"You Just Haven't Earned It Yet, Baby"
MSTRKRFT,2006,17642,Work On You
James Blunt,2012,17602,Goodbye My Lover
The Killers,2006,17598,Enterlude
Nirvana,1993,17580,All Apologies
Anberlin,2013,17438,(*Fin)
Billy Currington,2007,17406,Tangled Up
Two Door Cinema Club,2010,17377,Come Back Home
Muse,2009,17336,Fillip
Bright Eyes,2006,17278,Amy in the White Coat
The Killers,2004,17265,Mr. Brightside
Modest Mouse,2007,17216,Florida
The Red Jumpsuit Apparatus,2006,17158,Misery Loves Its Company
Enya,2000,17138,Pilgrim
Metallica,1996,17132,Cure
Owl City,2008,17109,Air Traffic
Boards of Canada,1996,17058,Seeya Later
Foo Fighters,2005,16920,Over and Out
Akon,2006,16821,Mama Africa
Angus & Julia Stone,2010,16764,Yellow Brick Road
Fleetwood Mac,1977,16723,Second Hand News
Deerhunter,2008,16687,Cover Me (Slowly)
Death Cab for Cutie,2003,16679,The New Year
Die Apokalyptischen Reiter,2011,16635,Metal Will Never Die
Bon Iver,2008,16558,For Emma
Thievery Corporation,2000,16523,Treasures
The Shins,2001,16520,Know Your Onion!
The Avett Brothers,2015,16493,I And Love And You
Jack Johnson,2010,16422,My Little Girl
Gorillaz,2007,16392,68 State
Vampire Weekend,2012,16368,Cape Cod Kwassa Kwassa
Gang of Four,1979,16349,I Found That Essence Rare
Caribou,2010,16317,Found Out
Yann Tiersen,2001,16301,Le Concert
Melody Gardot,2009,16296,Deep Within The Corners Of My Mind
Rammstein,2011,16293,Mein Herz brennt
Bobby McFerrin,2002,16272,Don't Worry Be Happy
Great White,1989,16229,House Of Broken Love
Marilyn Manson,2009,16218,WOW
Billy Currington,2010,16153,People Are Crazy
