artist,year,occurrences,title
Paul Simon,2010,1775,Still Crazy After All These Years
Pearl Jam,2002,1774,Love Boat Captain
Sleep,1993,1773,Anguish
Squeeze,1996,1772,Cool For Cats
Mary J. Blige,2005,1771,Take Me As I Am
ZZ Top,1970,1771,Backdoor Love Affair
James,1997,1769,She's A Star
Converge,2006,1769,No Heroes
Feeder,2014,1768,Buck Rogers
We the Kings,2009,1768,She Takes Me High
Volcano Choir,2009,1767,Youlogy
The Radio Dept.,2011,1765,Ewan
Blues Traveler,1995,1763,The Mountains Win Again
Ben Folds,2008,1762,Dr. Yang
Amon Amarth,1999,1761,Avenger
Asking Alexandria,2009,1760,Nobody Don't Dance No More
Simon & Garfunkel,1966,1759,Blessed
The Cranberries,1994,1758,Dreaming My Dreams
Tosca,2003,1757,Prolo
Parkway Drive,2009,1757,Carrion
Peter Bjorn and John,2006,1756,Roll The Credits
Sonic Youth,1983,1755,Confusion Is Next
AC/DC,1975,1755,Ride On
Metronomy,2009,1755,Radio Ladio
Franz Ferdinand,2004,1754,This Fire
The Dead Weather,2010,1753,I'm Mad
The Stooges,2011,1751,Search and Destroy
Camel,1993,1749,Lunar Sea
August Burns Red,2005,1749,The Reflective Property
Wir sind Helden,2011,1748,Echolot
Dinosaur Jr.,1991,1747,Whatever's Cool With Me
Pantha du Prince,2010,1747,Stick to My Side (Four Tet version)
Seu Jorge,2005,1745,Life On Mars?
Black Mountain,2008,1744,Night Walks
Modest Mouse,2009,1744,I've Got It All (Most)
The Band,1989,1743,Tears Of Rage
Sinéad O'Connor,2010,1743,Mandinka
Crowded House,2011,1742,Something So Strong
平沢進,2007,1742,Mediational Field
DANGERDOOM,2011,1741,Mince Meat
Brazilian Girls,2005,1737,Dance Till The Morning Sun
Mogwai,2004,1737,Hunted by a Freak
Otep,2002,1736,Menocide
Hannah Montana,2009,1735,Let's Get Crazy
Hieroglyphics,2004,1733,You Never Knew
Flaw,2001,1732,What I Have To Do
Les Savy Fav,2007,1732,Comes & Goes
Pepper,2006,1732,Green Hell
Barry White,1995,1731,"Never, Never Gonna Give You Up"
عمر دياب,2001,1730,Nour El Ain
Loleatta Holloway,2013,1729,Love Sensation
Booka Shade,2008,1728,Control Me
Xploding Plastix,2004,1728,Doubletalk Gets Through to You
Santigold,2009,1728,L.E.S. Artistes
Amy Macdonald,2007,1727,A Wish For Something More
Giulia y Los Tellarini,2011,1727,Barcelona
Chicane,2014,1727,Lost You Somewhere
Amorphis,2009,1726,Silver Bride
Descendents,2001,1726,All-O-Gistics
The Roots,2013,1724,What They Do
Haste the Day,2008,1724,An Adult Tree
Sing It Loud,2008,1724,Come Around (Acoustic)
The Everly Brothers,2012,1723,Devoted to You
Slayer,1985,1723,Praise of Death
Manu Chao,2002,1722,Peligro
Misery Signals,2006,1722,One Day I'll Stay Home
Late of the Pier,2008,1721,Mad Dogs And Englishmen
Jackie DeShannon,2014,1721,What The World Needs Now Is Love
Iron Maiden,2006,1721,Out of the Shadows
Sage Francis,2005,1717,Jah Didn't Kill Johnny
Andy McKee,2009,1714,When She Cries
Funkadelic,2010,1714,One Nation Under a Groove
The Verve,1993,1714,Virtual World
Enslaved,2010,1712,The Beacon
The Beloved,2009,1712,Sweet Harmony
Death from Above 1979,2002,1711,My Love Is Shared
Paul McCartney,2007,1711,Dance Tonight
Soilwork,2005,1709,One With the Flies
The Acacia Strain,2008,1709,Seaward
Sheryl Crow,2013,1709,I Shall Believe
Emmylou Harris,1995,1707,All My Tears
New Order,2009,1706,Thieves Like Us
Wilco,2014,1704,I Am Trying to Break Your Heart
Tiger Lou,2005,1704,Nixon
Guns N' Roses,1993,1704,I Don't Care About You
Three 6 Mafia,2006,1700,Poppin' My Collar
Sigur Rós,2010,1699,Fljotavik
jj,2009,1698,Masterplan
Lukid,2010,1697,Chord
Black Sabbath,1975,1693,Am I Going Insane (Radio)
Vashti Bunyan,2007,1693,I'd Like to Walk Around in Your Mind
Iglu & Hartly,2008,1693,In This City
Coheed and Cambria,2005,1693,The Willing Well II: From Fear Through the Eyes of Madness
Smokey Robinson,2011,1692,Being With You
Kiss,1975,1691,Cold Gin
Huey,2007,1690,"Pop, Lock & Drop It"
Sufjan Stevens,2004,1689,Sister
Pet Shop Boys,1990,1687,Being Boring
Sparklehorse,2001,1686,Eyepennies
Rufus Wainwright,2005,1686,Harvester Of Hearts
John Denver,2000,1685,Leaving on a Jet Plane
Wet Wet Wet,2004,1684,Love Is All Around
Louise Attaque,2011,1684,Tu Dis Rien
"Oh, Sleeper",2007,1684,Charlatan's Host
Faith No More,1992,1684,Crack Hitler
Doves,2000,1683,The Man Who Told Everything
Brazilian Girls,2006,1682,Le Territoire
The Starting Line,2003,1682,Up And Go
Low,1995,1680,Take
Emilíana Torrini,2015,1679,Big Jumps
Foxygen,2013,1679,In The Darkness
Isis,2006,1679,Garden of Light
Tom Waits,1985,1678,Blind Love
"Hamilton, Joe Frank & Reynolds",1998,1677,Don't Pull Your Love
Fear Factory,1995,1677,Self Bias Resistor
Empire of the Sun,2009,1676,The World
Månegarm,2009,1675,Vetrarmegin
Blockhead,2004,1675,Music By Cavelight
Sylvan Esso,2014,1674,Coffee
Keyshia Cole,2008,1674,I Should Have Cheated
Amon Amarth,1997,1673,Ride For Vengeance
Le Peuple de l'Herbe,2001,1672,Romantic
Nitzer Ebb,1989,1671,Hearts and Minds
Haste the Day,2010,1669,The Oracle
Shalamar,2000,1668,A Night To Remember
Goldfrapp,2005,1668,Koko
The Starting Line,2005,1667,Artistic License
Kurt Vile,2008,1667,American Folded
Jethro Tull,2002,1666,Aqualung
Manowar,1982,1666,Metal Daze
Black Sabbath,1972,1666,Cornucopia
ZZ Top,1987,1665,Goin' Down To Mexico
Eluveitie,2009,1664,Sacrapos - The Disparaging Last Gaze
Elbow,2008,1663,The Loneliness of a Tower Crane Driver
Razorlight,2006,1663,Who Needs Love?
Ice MC,2012,1662,Think About The Way
Morrissey,1994,1661,Used To Be A Sweet Boy
William Orbit,2014,1661,Barber's Adagio For Strings
Extrawelt,2008,1660,Homing
Alizée,2001,1658,Lui Ou Toi
Hellogoodbye,2007,1656,Touchdown Turnaround (Don't Give Up On Me)
Hot Chip,2008,1656,Touch Too Much
Easy Star All-Stars,2014,1655,Any Colour You Like
Beatsteaks,2002,1654,Let Me In
Neil Young,1972,1654,Are You Ready for the Country?
Joe Nichols,2005,1654,Size Matters (Someday)
Amy Adams,2009,1654,That's How You Know
Samantha James,2007,1654,Breathe You In
The Vogues,1995,1654,Five O'Clock World
El Perro del Mar,2006,1651,Here Comes That Feeling
Sufjan Stevens,2006,1650,O Come O Come Emmanuel
Placebo,1998,1650,Summer's Gone
Rage Against the Machine,1992,1650,Bullet in the Head
Miami Horror,2010,1650,Grand Illusion
Peaches,2009,1648,Trick or Treat
Fiona Apple,1999,1647,Love Ridden
Bad Brains,2006,1646,The Meek
Bran Van 3000,2001,1645,Astounded
Promoe,2004,1645,These Walls Don't Lie
New Order,2012,1644,Confusion (Pump Panel Reconstruction mix)
Meshuggah,2008,1644,Combustion
Renan Luce,2006,1642,Je Suis Une Feuille
Tony Yayo,2008,1641,So Seductive
Dinosaur Jr.,2009,1641,There's No Here
Paul Kalkbrenner,2005,1639,Queer Fellow
Suicide Silence,2007,1637,Hands Of A Killer
Dream Theater,1992,1636,Take the Time
Tame Impala,2008,1636,Slide Through My Fingers
Heatmiser,1996,1634,Plainclothes Man
Joe Nichols,2007,1634,It Ain't No Crime
Empire of the Sun,2013,1633,Awakening
Saul Williams,2008,1632,Black History Month
Rakim,1996,1632,The Saga Begins
Minus the Bear,2014,1631,Lotus
Alice in Videoland,2008,1631,Mf
Silverstein,2007,1627,Waiting Four Years
Fettes Brot,2011,1625,Emanuela
Otis Redding,2010,1624,My Lover's Prayer
Alice in Chains,1999,1624,Fear The Voices
DMX,2014,1623,Slippin'
Mistabishi,2009,1623,The Light's Really Bad
The Cranberries,1999,1621,Just My Imagination
Turisas,2007,1620,In The Court Of Jarisleif
Whitechapel,2007,1619,Prostatic Fluid Asphyxiation
NOFX,2003,1617,The Idiots Are Taking Over
Fatboy Slim,2012,1617,Sunset (Bird of Prey)
Alkaline Trio,1998,1616,My Little Needle
Phil Collins,1989,1614,I Wish It Would Rain Down
Black Sabbath,1978,1613,Over to You
Thievery Corporation,2012,1613,Un simple histoire
Tiësto,2005,1612,Battleship Grey
Bombay Bicycle Club,2007,1612,Sixteen
Porcupine Tree,2011,1611,Trains
Nick Drake,2007,1611,Three Hours
Peace Orchestra,1999,1608,Henry
Zomby,2008,1608,B With Me
Parliament,2002,1606,Give Up The Funk (Tear The Roof Off The Sucker)
Finntroll,2010,1606,I Trädens Sång
Washed Out,2009,1605,You'll See It
mclusky,2002,1604,What We've Learned
Billy Talent,2004,1603,The Ex
The Radio Dept.,1900,1602,Let Me Have This
Lee Ann Womack,2000,1601,I Hope You Dance
Modjo,2001,1601,Lady (Hear Me Tonight)
Screaming Trees,1991,1600,Beyond This Horizon
Rozalla,2013,1599,Everybody's Free
Stereolab,1993,1599,Golden Ball
Gogol Bordello,2005,1598,Avenue B
Karunesh,2004,1598,And the Grass Grows By Itself
The Clash,1979,1596,Hateful
Erasure,2008,1593,A Little Respect
Black Lips,2010,1593,O Katrina!
Sweet,2005,1592,Little Willy
Plan B,2010,1591,Writing's On The Wall
Skalpel,2004,1591,Quiz
Story of the Year,2010,1591,To The Burial
Late Night Alumni,2006,1591,Empty Streets
Steriogram,2004,1591,Walkie Talkie Man
Limp Bizkit,1997,1590,Pollution
Perturbator,2017,1589,God Complex
Red Sparowes,2010,1588,In Illusions Of Order
Amiina,2007,1586,Kolapot
Aerosmith,1988,1584,Train Kept a Rollin'
The Allman Brothers Band,1991,1583,Southbound
Dustin O'Halloran,2006,1582,Opus 36
Hole,1998,1581,Northern Star
Cocteau Twins,1988,1581,Suckling the Mender
The Flaming Lips,1993,1581,Pilot Can at the Queer of God
Archive,1996,1580,Man-Made
Crowded House,2010,1579,Better Be Home Soon
Raffertie,2013,1578,Build Me Up
Thievery Corporation,1998,1578,Assault on Babylon
Alela Diane,2006,1578,The Pirate's Gospel
Armin van Buuren,2013,1578,Love Never Came
Everclear,1997,1578,Normal Like You
Moloko,2006,1578,Day for Night
Slipknot,2008,1578,Vendetta
Agonoize,2006,1576,open the gate
Pet Shop Boys,2014,1575,New York City Boy
Bob Marley & The Wailers,2013,1575,Stop That Train
Madeleine Peyroux,2014,1574,You're Gonna Make Me Lonesome When You Go
Hawk Nelson,2007,1574,Bring 'Em Out
Marvin Gaye,2003,1574,I'll Be Doggone
Placebo,2016,1573,Running Up That Hill
Ladytron,2005,1571,Beauty*2
Wolfmother,2005,1570,Where Eagles Have Been
Martina Topley-Bird,2003,1570,Lying
Tinie Tempah,2010,1569,Pass Out
Mr. Scruff,1999,1568,Fish
Depeche Mode,1998,1567,Stripped
Alexi Murdoch,2011,1565,Through The Dark
White Rabbits,2007,1565,Navy Wives
Today Is The Day,2016,1565,The Man Who Loves to Hurt Himself
Equilibrium,2008,1564,Widars Hallen
M83,2008,1563,Couleurs
Jazzamor,2011,1562,Story of Elaine
Daughtry,2009,1562,You Don't Belong
Aimee Mann,2004,1562,Pavlov's Bell
Keane,2009,1561,Spiralling
Chuck Ragan,2007,1561,For Broken Ears
No Age,2008,1561,Miner
Scorpions,2006,1561,Alien Nation
Anberlin,2005,1560,Stationary Stationery
Ensiferum,2001,1559,Battle Song
Soundgarden,2016,1559,New Damage
Isis,2000,1558,Carry
Saves the Day,1999,1557,Through Being Cool
Cold,2000,1556,Send In The Clowns
Ben Lee,2005,1555,I'm Willing
Mark Knight & Funkagenda,2009,1555,Man with the Red Face
The Streets,2016,1555,Weak Become Heroes
Great Lake Swimmers,2003,1555,The Man With No Skin
New Order,1981,1554,The Him
The Castaways,2011,1553,"Liar, Liar"
RX Bandits,2006,1552,Apparition
Primus,1998,1550,Duchess And The Proverbial Mind Spread
Sneaker Pimps,1999,1550,Curl
Fluke,2001,1550,Absurd
The Magic Numbers,2007,1549,Most Of The Time
Finntroll,2001,1549,Aldhissla
Caribou,2001,1548,Brandon
Dan Deacon,2009,1547,Paddling Ghost
Ferras,2008,1543,Hollywood's Not America
Athlete,2003,1542,One Million
Underoath,2002,1541,When The Sun Sleeps
American Hi-Fi,2003,1541,The Art Of Losing
Unearth,2006,1538,The Devil Has Risen
Beatsteaks,2004,1538,My Revelation
The Fratellis,2008,1537,Stragglers Moon
Otep,2004,1535,Self-Made
K'naan,2006,1535,If Rap Gets Jealous
Julianne Hough,2008,1535,My Hallelujah Song
Slayer,1996,1534,Filler/I Don't Want To Hear It
Porcupine Tree,2010,1534,Shesmovedon
Mariah Carey,2010,1533,Obsessed
Veronica Maggio,2012,1533,Måndagsbarn
Keren Ann,2007,1532,Where No Endings End
The Album Leaf,2010,1532,Blank Pages
Saint Vitus,1991,1531,Dying Inside
ABBA,2014,1530,The Day Before You Came
Roxy Music,2013,1529,Virginia Plain
Joe Cocker,2008,1528,When The Night Comes
Aesop Rock,2007,1528,None Shall Pass
Elliott Smith,2007,1525,Going Nowhere
Tosca,2008,1525,Heidi Bruehl
Marilyn Manson,2018,1524,Cry Little Sister
Toni Braxton,2000,1524,Another Sad Love Song
System of a Down,1998,1523,Suggestions
Billy Talent,2003,1522,Living in the Shadows
Sonic Youth,1995,1521,Brother James
UB40,2009,1521,Sing Our Own Song
The Bloody Beetroots,2010,1519,Warp 7.7
Natiruts,2005,1518,Andei Só
Motörhead,2004,1518,Keys To The Kingdom
Dimmu Borgir,2007,1517,The Conspiracy Unfolds
Flume,2013,1515,Holdin On
Boy,2011,1515,Boris
Fun Lovin' Criminals,2004,1513,King Of New York
The Pogues,2009,1512,The Battle March Medley
Zebrahead,2008,1512,Brixton
José González,2005,1511,Save Your Day
Karen Elson,2010,1511,The Ghost Who Walks
Blackfield,2007,1510,Where Is My Love?
Ryan Leslie,2009,1510,How It Was Supposed To Be
G. Love & Special Sauce,1994,1509,The Things That I Used To Do
Beastie Boys,1996,1509,Shambala
Steve Miller Band,1977,1508,True Fine Love
Johnny Gill,2014,1508,"My, My, My"
Anya Marina,2006,1507,Miss Halfway
Long Beach Dub All Stars,2001,1506,Luke
Arch Enemy,2013,1505,Idolatress
The Chemical Brothers,1999,1504,Under The Influence
OutKast,1994,1504,True Dat (Interlude)
Marvin Gaye,2010,1504,Mercy Mercy Me (The Ecology)
Balkan Beat Box,2012,1504,Ya Man
Yo La Tengo,2000,1503,Tired Hippo
Kaolin,2006,1503,Partons vite
Dropkick Murphys,2007,1501,Never Forget
Simon & Garfunkel,1964,1501,The 59th Street Bridge Song (Feelin' Groovy)
Aborted,2001,1500,The Holocaust Incarnate
Babyshambles,2007,1499,Lost Art Of Murder
Simple Plan,2011,1499,Anywhere Else But Here
Aerosmith,1987,1499,Simoriah
Death,1995,1499,Symbolic
Elliott Smith,2015,1499,Christian Brothers
Jimi Hendrix,1998,1498,Wait Until Tomorrow
Wir sind Helden,2007,1497,Stiller
Copeland,2008,1497,Good Morning Fire Eater
Dream Theater,1989,1497,Only A Matter Of Time
August Burns Red,2010,1493,The Eleventh Hour
Dream Theater,2008,1491,Solitary Shell
Macaco,2004,1491,Se Mueven
Mark Knopfler,1984,1491,Irish Boy
Creedence Clearwater Revival,2008,1491,Down on the Corner
Modest Mouse,1996,1489,Head South
Ryan Adams,2003,1488,Burning Photographs
Nirvana,1989,1487,Paper Cuts
Belphegor,2008,1486,Der Rutenmarsch
Low,2018,1485,Disarray
Diamanda Galás,1994,1483,Baby's Insane
Rhapsody,2000,1481,"Dargor, Shadowlord of the Black Mountain"
Gustavo Santaolalla,2006,1480,The Wings
Behemoth,2002,1480,Fornicatus Benefictus
The Hold Steady,2007,1479,Hot Soft Light
The Bouncing Souls,2005,1478,Sing Along Forever
The Walkmen,2008,1476,Red Moon
Supreme Beings of Leisure,2000,1476,You're Always the Sun
Louie Austen,2007,1475,Glamour Girl
Joe Cocker,2004,1475,Feelin' Alright
Sharon Van Etten,2014,1475,Taking Chances
A Skylit Drive,2009,1475,Wires And The Concept Of Breathing
Belleruche,2007,1474,It'll Come
Black Label Society,2002,1474,Lords of Destruction
The Magic Numbers,2008,1473,Love Me Like You
Soilwork,2001,1471,The Analyst
Sleater-Kinney,2005,1470,Jumpers
No Doubt,1995,1470,That's Just Me
Au Revoir Simone,2006,1470,Don't See The Sorrow
De-Phazz,2013,1469,Jazz Music
The Courteeners,2008,1468,"Yesterday, Today & Probably Tomorrow"
Massive Attack,1995,1468,Trinity Dub (Three)
The Wonder Years,2010,1467,Washington Square Park
Fear Factory,2010,1467,Metallic Division
Gordon Lightfoot,2009,1467,If You Could Read My Mind
Behemoth,2009,1466,"Alas, Lord is Upon Me"
El Gran Silencio,2007,1466,Dormir Soñando
Sophie B. Hawkins,2009,1465,Damn I Wish I Was Your Lover
Live,1994,1464,Waitress
Melvins,1993,1464,Lizzy
The Starting Line,2002,1463,"Decisions, Decisions"
The Distillers,2000,1463,Colossus U.S.A.
Velvet Revolver,2004,1463,Headspace
Breathe,1988,1462,Hands To Heaven
Paul Mauriat,2011,1462,Love Is Blue
Blind Pilot,2008,1462,Things I Cannot Recall
Sammy Kershaw,1993,1461,Queen Of My Double Wide Trailer
Bon Jovi,1992,1461,In These Arms
Scar Symmetry,2008,1460,Trapezoid
Black Rebel Motorcycle Club,2007,1459,Weapon of Choice
The Velvet Underground,2000,1459,Sister Ray
OutKast,1998,1457,Skew It on the Bar-B
Soilwork,2013,1457,Tongue
The Magic Numbers,2006,1456,You Never Had It
CHVRCHES,2018,1456,Graves
Chris Cagle,2010,1456,Wal-Mart Parking Lot
Neko Case,2002,1454,Stinging Velvet
Broken Social Scene,2004,1453,hHallmark
Shania Twain,1995,1452,Whose Bed Have Your Boots Been Under?
In This Moment,2014,1451,The Fighter
Santana,1970,1451,Mother's Daughter
La Rue Kétanou,2002,1450,Les Cigales
Ready For The World,2011,1450,Oh Sheila
Every Time I Die,2007,1449,Pigs Is Pigs
Suicide Commando,2006,1448,Massaker
Soulwax,2005,1448,Slowdance
Mogwai,2001,1447,O I Sleep
Plain White T's,2007,1444,Hate (I Really Don't Like You)
Jon McLaughlin,2007,1443,Industry
Babylon Circus,2004,1443,De La Musique Et Du Bruit
Angtoria,2006,1442,Hell Hath No Fury Like a Woman Scorned
Riverside,2007,1440,Lucid Dream Iv
Danzig,1990,1439,I'm The One
The Thermals,2008,1438,I Might Need You To Kill
36 Crazyfists,2008,1438,Northern November
Department of Eagles,2009,1438,No One Does It Like You
Phil Collins,1981,1438,I'm Not Moving
The Faint,1999,1437,Cars Pass in Cold Blood
J Dilla,2006,1436,Glazed
Ben Folds Five,2006,1436,Philosophy
Ella Baila Sola,2007,1435,Cuando Los Sapos Bailen Flamenco
Juno Reactor,2002,1435,Shark
Hurts,2011,1434,Sunday
A.A. Bondy,2009,1433,Mightiest of Guns
Elvis Costello,1977,1433,(The Angels Wanna Wear My) Red Shoes
Selena Gomez & the Scene,2009,1432,Stop & Erase
Cassius,2002,1432,The Sound of Violence
Cake,2005,1432,Strangers In The Night
Pavement,1992,1432,Our Singer
Lamb,2001,1431,What Sound
Nightwish,2009,1431,While Your Lips Are Still Red
Moby,1993,1428,Mobility
Jimi Hendrix,1997,1428,Belly Button Window
Peter Tosh,1997,1428,Mystic Man
Anarbor,2008,1426,The Brightest Green
Mercury Rev,2017,1425,The Dark Is Rising
Violent Femmes,2013,1424,Hallowed Ground
Katatonia,2005,1423,In the White
Dio,2010,1423,All The Fools Sailed Away
Cradle of Filth,2000,1423,Death Magick for Adepts
Blind Faith,1969,1422,Had To Cry Today
Clap Your Hands Say Yeah,2005,1422,Heavy Metal
Hybrid,2003,1422,This Is What It Means
Fenix TX,2001,1421,Threesome
Peter Doherty,2009,1421,Salome
Behemoth,2008,1421,Libertheme
Mortiis,2001,1421,Antimental
Reamonn,2010,1420,Supergirl
The Subways,2008,1420,Kalifornia
Thurston Moore,1995,1420,Elegy For All The Dead Rock Stars
Lisa Ekdahl,2003,1420,Vem Vet
Ignite,2006,1419,Know Your History
The Aquabats,2000,1419,Pool Party
Lhasa de Sela,2003,1418,La Frontera
Patrick Wolf,2004,1418,A Boy Like Me
Pet Shop Boys,1998,1418,Always on My Mind
The Rolling Stones,1989,1417,I Want to Be Loved
MC Solaar,1998,1417,Nouveau western
New Order,2005,1417,Crystal
Hans Zimmer & James Newton Howard,2010,1417,Vespertilio
Van She,2008,1414,Talkin'
Souad Massi,2007,1414,Ghir Enta
Eluveitie,2012,1414,The Siege
Death from Above 1979,2004,1413,Turn It Out
A Place to Bury Strangers,2010,1413,Keep Slipping Away
Destiny's Child,2001,1413,Bootylicious
Plan B,2006,1412,Frikitona
Kalmah,2010,1412,Bullets Are Blind
Disturbed,2002,1412,Prayer
Anthrax,2013,1412,The Giant
múm,2004,1412,Stir
Arcade Fire,2017,1411,Signs of Life
Dead Kennedys,1987,1410,The Prey
Sonic Syndicate,2007,1409,All About Us
Augustana,2008,1408,"Rest, Shame, Love"
Tricky,1995,1408,Brand New You're Retro
Ashlee Simpson,2005,1407,Dancing Alone
Steely Dan,1976,1406,The Fez
Al Di Meola,1996,1406,Mediterranean Sundance
Hawk Nelson,2016,1405,The One Thing I Have Left
Dance Gavin Dance,2007,1405,Open Your Eyes and Look North
Bear in Heaven,2010,1405,Casual Goodbye
Rush,1978,1404,The Trees
Scooter,2009,1401,J'Adore Hardcore
Fun Lovin' Criminals,2013,1401,The Fun Lovin' Criminal
Antony and the Johnsons,2012,1401,The Crying Light
Groove Armada,1999,1401,Inside My Mind (Blue Skies)
Tweet,2009,1400,Boogie 2Nite
Emery,2014,1400,Butcher's Mouth
El Guincho,2009,1400,Antillas
Blockhead,2008,1400,Sunday Seance
Amon Tobin,2005,1398,Kokubo Sosho Stealth
Blonde Redhead,2016,1397,Harmony
Neko Case,2013,1396,Magpie to the Morning
Ben Folds,2006,1393,All U Can Eat
The Decemberists,2008,1392,Raincoat Song
Baroness,2009,1391,Blackpowder Orchard
The Sonics,1965,1391,Night Time Is the Right Time
Devin Townsend,1998,1391,Noisy Pink Bubbles
The Libertines,2003,1390,Time for Heroes
Foxy Shazam,2008,1390,The Science Of Love
Dan Black,2009,1389,U + Me =
The Bluetones,2002,1389,Bluetonic
Hall & Oates,1983,1388,Private Eyes
Sirenia,2009,1387,Winterborn 77
Café Tacvba,2005,1387,Eres
The Rakes,2005,1386,T Bone
Pixie Lott,2009,1386,"Mama Do (Uh Oh, Uh Oh)"
Bananarama,2012,1385,Love In The First Degree
Susheela Raman,2000,1383,Mamavatu
Bruce Springsteen,1975,1383,Night
Apocalyptica,2004,1383,Misconstruction
Eric Burdon & The Animals,2012,1383,San Franciscan Nights
Chris Thomas King,2002,1382,Hard Time Killing Floor Blues
The Academy Is...,2005,1382,Black Mamba
Rise Against,2005,1380,Alive and Well
Morbid Angel,1995,1379,Caesar's Palace
1200 Micrograms,2003,1379,Language of the Future
Belle and Sebastian,2008,1378,My Wandering Days Are Over
Astor Piazzolla,2011,1376,Libertango
Tone-Lōc,1989,1376,Funky Cold Medina
Ocean Colour Scene,1997,1375,Hundred Mile High City
Forever the Sickest Kids,2009,1375,That For Me
Morphine,2000,1375,You Look Like Rain
Angie Stone,2005,1375,Wish I Didn't Miss You
Trent Reznor and Atticus Ross,2010,1374,In Motion
DMX,1998,1373,Bring Your Whole Crew
NOFX,1991,1373,I Don't Want You Around
Datarock,2008,1372,Computer Camp Love
Sneaker Pimps,1996,1371,Roll On
Damien Jurado,2011,1371,Sheets
Blondie,2012,1370,Rapture
Someone Still Loves You Boris Yeltsin,2006,1370,House Fire
Sam Sparro,2008,1370,Recycle It!
Pohlmann.,2007,1368,Mädchen Und Rabauken
Aphex Twin,1995,1367,Start as You Mean to Go On
will.i.am,2013,1367,Feelin' Myself
MF DOOM,2004,1365,Gumbo
Jurassic 5,2000,1365,The Influence
Ska-P,2003,1365,Intifada
Morcheeba,2001,1364,Love Is Rare
Sonic Youth,2008,1363,Bull In The Heather
Olivia Newton-John,2012,1363,Have You Never Been Mellow
Hey Monday,2008,1361,Josey
Bruce Springsteen,1987,1360,Ain't Got You
White Zombie,1995,1360,Blur The Technicolor
Arsonists Get All The Girls,2007,1357,To Get Eaten By The Rats
Cream,1995,1357,Badge
The Doobie Brothers,2004,1356,Jesus is Just Alright
Louise Attaque,2004,1356,Du Nord Au Sud
The Presidents of the United States of America,1996,1356,Twig
Katatonia,2003,1355,Inside the City of Glass
Harold Budd,1986,1355,Valse Pour Le Fin Du Temps
Soilwork,2002,1354,Black Star Deceiver
Robert Wyatt,2005,1354,Sea Song
Sonata Arctica,2004,1354,Blinded No More
Monolake,2001,1353,Ionized
Aimee Mann,1999,1353,Calling It Quits
Cake,1998,1352,When You Sleep
The Weakerthans,2007,1351,Civil Twilight
Thomas Newman,1994,1351,Brooks Was Here
Au Revoir Simone,2005,1350,The Disco Song
Nick Drake,2013,1350,Mayfair
Gob,2003,1349,Give Up the Grudge
Thom Yorke,2006,1349,The Eraser
Gotye,2006,1348,Hearts a Mess
Celldweller,2003,1347,Switchback
Jamie Lidell,2008,1347,Figured Me Out
Scar Symmetry,2006,1347,Dreaming 24/7
Britney Spears,2013,1346,...Baby One More Time
Ludovico Einaudi,2008,1346,Questa Volta
Karnivool,2005,1345,Scarabs
Pete Townshend,2005,1345,Let My Love Open The Door
Veruca Salt,1997,1344,Straight
Slave,2010,1343,Just A Touch Of Love
Sufjan Stevens,2005,1342,Jacksonville
Slayer,1988,1342,Read Between The Lies
Cat Power,1995,1340,Rockets
A Silver Mt. Zion,2000,1339,Sit in the Middle of Three Galloping Dogs
Fettes Brot,2010,1337,Ich bin müde
Paul Kalkbrenner,2008,1337,Absynthe
Motionless in White,2012,1337,Immaculate Misconception
Beastie Boys,2019,1335,That's It That's All
Armin van Buuren,2014,1334,Intense
:Wumpscut:,2006,1334,Jetzt
Donell Jones,2014,1332,Where I Wanna Be
Hess Is More,2006,1331,Yes Boss
Jamal,2005,1331,Hien No Pasaran
Alkaline Trio,2000,1330,Madam Me
NOFX,1996,1327,August 8th
Lady Gaga,2011,1327,Hair
This Providence,2006,1326,Walking On Water
OneRepublic,2013,1324,Preacher
Beginner,2003,1324,Back In Town
Zeca Baleiro,2013,1322,Telegrama
Mando Diao,2007,1321,You Don't Understand Me
Framing Hanley,2007,1320,23 Days
Jamiroquai,1998,1319,Deeper Underground
Darryl Worley,2005,1319,Have You Forgotten?
The Rolling Stones,1976,1319,Hand Of Fate
Upon a Burning Body,2010,1319,Devil's Advocate
Slayer,1986,1318,Piece By Piece
Aimee Mann,2000,1318,Nothing Is Good Enough
Nada Surf,2005,1318,Concrete Bed
The Modern Lovers,1973,1318,She Cracked
Gorillaz,2006,1317,Highway (Under Construction)
Peter Green,1979,1317,Apostle
Peter Gabriel,1986,1316,Mercy Street
Toni Braxton,2011,1316,Breathe Again
Those Dancing Days,2008,1315,Duet Under Waters
Håkan Hellström,2000,1315,Dom dimmiga dagarna
The Animals,2018,1314,Boom Boom
Infected Mushroom,2004,1314,Noon
Bauhaus,1982,1313,The Three Shadows Part 3
Supergrass,2010,1312,Alright
Mando Diao,2012,1310,TV & Me
Amanda Blank,2009,1309,Might Like You Better
Enter Shikari,2010,1309,Juggernauts
Richard Hawley,2007,1308,Tonight The Streets Are Ours
Fuck Buttons,2009,1308,New Crossbow
Insane Clown Posse,1997,1308,Under The Moon
Eric Clapton,2006,1306,Bad Love
Avantasia,2002,1305,In Quest For
Shpongle,2009,1304,Shpongolese Spoken Here
Foo Fighters,2007,1304,Statues
The Dandy Warhols,2005,1304,Everyone Is Totally Insane
Kettcar,2002,1303,Jenseits der Bikinilinie
