occurences,year,artist
37,2017,Kreator
36,2017,Steve Aoki
35,2017,Camila Cabello
35,2017,The xx
34,2017,Perfume Genius
34,2017,St. Vincent
32,2017,Skanna
29,2017,Pallbearer
28,2017,Thundercat
24,2017,Bounty Killer
24,2017,Brand New
24,2017,Frank Ocean
24,2017,Paramore
22,2017,Arch Enemy
18,2017,Motionless in White
14,2017,Turnover
13,2017,Iron Butterfly
12,2017,Armin van Buuren
12,2017,August Burns Red
12,2017,Metro Area
11,2017,David Bowie
11,2017,Veil of Maya
10,2017,Arthur Russell
10,2017,The National
9,2017,Ke$ha
9,2017,Maroon 5
8,2017,Felix da Housecat
8,2017,Future Islands
8,2017,Ghost Brigade
8,2017,You Me at Six
7,2017,Lana Del Rey
6,2017,Elton John
6,2017,John Legend
6,2017,Mot\u00f6rhead
5,2017,Moondog
5,2017,Taylor Swift
4,2017,Bruce Springsteen
4,2017,FKJ
3,2017,Frank Turner
3,2017,Halsey
3,2017,Lorde
3,2017,Sophie
2,2017,Circa Survive
2,2017,Mastodon
1,2017,Bob Marley & The Wailers
1,2017,Charlotte Gainsbourg
1,2017,Johann Sebastian Bach
1,2017,Sleater-Kinney
12593,2016,Deftones
9818,2016,We the Kings
9707,2016,Wheatus
7881,2016,Mayday Parade
6857,2016,Alesso
6163,2016,Anberlin
3912,2016,Underoath
3210,2016,L7
3182,2016,Trivium
2786,2016,Roxy Music
2411,2016,Idlewild
2160,2016,Felix Jaehn
1573,2016,Placebo
1565,2016,Today Is The Day
1559,2016,Soundgarden
1555,2016,The Streets
1405,2016,Hawk Nelson
1397,2016,Blonde Redhead
1281,2016,Radiohead
1208,2016,Gwen Stefani
1159,2016,Gojira
1122,2016,Helloween
1015,2016,Christina Milian
913,2016,Panic! at the Disco
764,2016,Blue Foundation
762,2016,Jain
731,2016,Dzihan & Kamien
711,2016,Banks
703,2016,311
679,2016,The Hold Steady
618,2016,Pig Destroyer
613,2016,Radio Moscow
592,2016,Kelly Clarkson
575,2016,The Used
544,2016,St. Lucia
532,2016,Perturbator
478,2016,Coil
474,2016,Sufjan Stevens
441,2016,The Meters
439,2016,Monster Magnet
403,2016,Hooverphonic
400,2016,Syd Barrett
337,2016,The Cars
319,2016,Dark Tranquillity
317,2016,J Dilla
304,2016,Blood Orange
285,2016,Ariana Grande
270,2016,Kent
269,2016,Alicia Keys
261,2016,Justice
260,2016,Megadeth
250,2016,Stream of Passion
244,2016,Bernward Koch
237,2016,Danny Brown
225,2016,Delroy Wilson
213,2016,Martin Garrix
202,2016,Converge
200,2016,Norma Jean
191,2016,Young Thug
184,2016,Jon Bellion
182,2016,M.I.A.
182,2016,Tim Buckley
176,2016,Thunderball
175,2016,Lady Gaga
167,2016,Britney Spears
150,2016,The Highwaymen
147,2016,Apocalyptica
134,2016,Fit for a King
125,2016,Charlie Brown JR.
